# name, other_name, ra, dec, diameter, ebv, ebv_error, ejh_ejk, distance_modulus, distance_modulus_error, distance, distance_error, age, age_error, url
SAI 1,,2.0850,51.7208,4.0,0.34,0.14,1.12,11.68,0.06,2170,60,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_1/
King 13,,2.5700,61.1775,10.0,0.56,0.04,,12.36,0.27,2960,400,8.85,0.05,http://ocl.sai.msu.ru/catalog/king_13/
SAI 2,,3.1183,76.2350,5.0,0.81,0.27,0.74,12.45,0.26,3090,400,7.7,-inf,http://ocl.sai.msu.ru/catalog/sai_2/
SAI 3,FSR 480,3.7067,61.4767,6.0,0.68,0.02,0.55,14.18,0.05,6900,160,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_3/
SAI 4,,5.9167,62.7039,4.0,0.27,0.18,0.32,11.02,0.36,1600,290,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_4/
SAI 5,FSR 494,6.4075,63.7611,4.0,0.6,0.08,0.62,12.7,0.07,3500,120,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_5/
SAI 6,,6.9692,60.6892,5.0,0.89,0.09,0.59,12.17,0.01,2700,50,8.5,-inf,http://ocl.sai.msu.ru/catalog/sai_6/
SAI 7,FSR 503,7.2971,68.9364,7.0,0.82,0.12,0.46,11.88,0.38,2400,450,9.4,0.05,http://ocl.sai.msu.ru/catalog/sai_7/
NGC 136,,7.8858,61.5083,4.0,0.7,0.09,,13.59,0.14,5220,350,8.4,0.05,http://ocl.sai.msu.ru/catalog/ngc_136/
SAI 8,FSR 505,10.0367,61.5675,3.0,0.3,0.11,0.84,14.28,0.2,7200,700,9.15,0.1,http://ocl.sai.msu.ru/catalog/sai_8/
SAI 9,FSR 508,10.4663,64.9808,4.0,0.66,0.17,0.42,14.42,0.2,7700,700,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_9/
SAI 10,,10.7633,41.6225,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_10/
SAI 11,FSR 524,14.3017,62.1050,8.0,0.51,0.13,0.71,10.7,0.29,1380,200,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_11/
SAI 12,,16.1004,45.6069,4.0,1.13,0.3,0.72,12.06,0.02,2600,50,8.15,-inf,http://ocl.sai.msu.ru/catalog/sai_12/
SAI 13,FSR 536,19.9067,63.0556,8.0,1.27,0.23,0.66,12.38,0.17,3000,250,8.2,-inf,http://ocl.sai.msu.ru/catalog/sai_13/
SAI 14,,21.5012,62.6258,4.0,0.55,0.03,0.51,14.05,0.03,6460,90,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_14/
SAI 15,,27.4692,53.9094,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_15/
SAI 16,,31.3733,62.2650,5.0,0.7,0.01,0.52,14.42,0.2,7700,740,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_16/
SAI 17,,35.2013,59.1850,2.0,0.98,0.17,0.63,12.88,0.1,3800,150,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_17/
SAI 18,,35.4829,61.1225,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_18/
SAI 19,,36.6329,61.9925,6.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_19/
SAI 20,FSR 584,36.7700,61.6278,6.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_20/
SAI 21,,38.6892,62.5728,3.0,0.58,0.01,0.51,11.35,0.1,1860,90,8.5,-inf,http://ocl.sai.msu.ru/catalog/sai_21/
SAI 22,,42.2421,60.7428,5.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_22/
SAI 23,,43.5208,60.6644,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_23/
SAI 24,,44.8558,60.5661,6.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_24/
SAI 25,,45.1112,57.2672,7.0,0.84,0.13,0.47,11.8,0.09,2290,100,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_25/
SAI 26,,47.3783,56.7906,3.0,1.47,0.29,0.66,11.79,0.51,2280,600,8.2,-inf,http://ocl.sai.msu.ru/catalog/sai_26/
SAI 27,,47.8413,68.9003,5.0,0.62,0.04,0.57,10.48,0.28,1250,170,9.25,0.1,http://ocl.sai.msu.ru/catalog/sai_27/
SAI 28,,54.8196,55.9733,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_28/
SAI 29,FSR 634,55.0896,59.4144,5.0,0.84,0.01,0.53,12.24,0.07,2800,90,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_29/
SAI 30,,55.0925,82.2333,3.0,1.25,0.44,0.82,12.46,0.05,3100,80,8.0,-inf,http://ocl.sai.msu.ru/catalog/sai_30/
SAI 31,,57.8142,58.7689,6.0,0.16,0.22,0.23,12.12,0.02,2650,30,9.6,0.05,http://ocl.sai.msu.ru/catalog/sai_31/
SAI 32,FSR 655,59.0492,53.8692,1.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_32/
SAI 33,Juchert 19,60.5842,52.4442,2.0,0.28,0.01,0.56,10.64,0.02,1340,50,9.3,-inf,http://ocl.sai.msu.ru/catalog/sai_33/
SAI 34,FSR 660,60.6575,51.9306,5.0,1.2,0.12,0.58,13.78,0.03,5700,80,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_34/
SAI 35,Juchert 20,62.6958,46.8669,5.0,0.7,0.18,0.71,11.92,0.02,2420,20,8.55,-inf,http://ocl.sai.msu.ru/catalog/sai_35/
SAI 36,,64.2100,41.0667,3.0,0.55,0.05,0.6,12.36,0.19,3000,270,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_36/
SAI 37,FSR 687,69.8629,48.2064,4.0,0.77,0.03,0.57,14.3,0.04,7200,130,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_37/
SAI 38,FSR 699,74.0233,47.3903,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_38/
SAI 39,FSR 696,74.6317,47.9842,1.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_39/
SAI 40,,75.2371,41.2339,8.0,0.35,0.12,0.78,13.29,0.05,4550,100,8.75,0.05,http://ocl.sai.msu.ru/catalog/sai_40/
SAI 41,,76.7725,38.4181,2.0,0.51,0.18,0.39,13.58,0.23,5200,580,9.3,0.05,http://ocl.sai.msu.ru/catalog/sai_41/
SAI 42,Juchert 23,76.9154,17.6000,8.0,0.62,0.18,0.77,11.67,0.09,2160,90,8.7,0.05,http://ocl.sai.msu.ru/catalog/sai_42/
SAI 43,,77.0692,49.8689,2.0,0.18,0.03,0.45,12.92,0.07,3840,130,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_43/
SAI 44,FSR 716,77.7808,45.7192,5.0,0.24,0.01,0.55,12.64,0.06,3400,70,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_44/
SAI 45,Patchick 3,79.1458,45.5822,6.0,0.25,0.02,0.5,10.55,0.17,1290,100,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_45/
SAI 46,,79.9042,36.5089,3.0,0.78,0.01,0.62,13.16,0.12,4290,240,9.45,0.05,http://ocl.sai.msu.ru/catalog/sai_46/
SAI 47,,80.9917,42.3144,3.0,0.6,0.01,0.54,12.93,0.05,3860,90,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_47/
Berkeley 19,,81.0117,29.5711,5.0,0.61,0.05,0.72,12.38,0.4,3000,600,9.25,0.05,http://ocl.sai.msu.ru/catalog/berkeley_19/
SAI 48,,81.0700,33.5006,4.0,0.31,0.07,0.45,11.3,0.2,1800,180,9.35,0.05,http://ocl.sai.msu.ru/catalog/sai_48/
SAI 49,,81.6038,50.7842,6.0,0.47,0.01,0.54,12.17,0.17,2720,220,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_49/
Czernik 21,,81.6708,36.0136,6.0,0.72,0.02,0.56,11.82,0.2,2300,200,9.55,0.05,http://ocl.sai.msu.ru/catalog/czernik_21/
Stock 8,,82.0367,34.4314,8.0,1.21,0.04,0.57,9.84,0.2,900,110,7.5,-inf,http://ocl.sai.msu.ru/catalog/stock_8/
Kronberger 1,,82.0917,34.7733,5.0,0.43,0.1,0.72,9.6,0.3,800,100,8.1,0.05,http://ocl.sai.msu.ru/catalog/kronberger_1/
SAI 50,,82.1621,35.0219,3.0,0.6,0.3,0.42,16.7,0.5,21900,5700,9.7,0.2,http://ocl.sai.msu.ru/catalog/sai_50/
SAI 51,Teutsch 133,82.5079,33.4253,3.0,0.62,0.18,0.42,9.54,0.2,810,80,9.3,-inf,http://ocl.sai.msu.ru/catalog/sai_51/
NGC 1931,,82.8579,34.2139,6.0,1.97,0.2,0.84,10.06,0.2,1000,120,7.0,-inf,http://ocl.sai.msu.ru/catalog/ngc_1931/
Koposov 36,,84.2108,31.2108,9.0,0.83,0.11,0.63,11.16,0.16,1700,150,8.35,-inf,http://ocl.sai.msu.ru/catalog/koposov_36/
SAI 52,FSR 812,84.5379,31.7378,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_52/
Koposov 27,Teutsch 1,84.8750,33.3500,3.0,0.45,0.1,0.69,12.8,0.5,3700,900,8.65,-inf,http://ocl.sai.msu.ru/catalog/koposov_27/
Koposov 7,FSR 784,85.1838,35.9236,6.0,3.75,0.37,0.7,13.39,0.35,4760,830,8.2,0.05,http://ocl.sai.msu.ru/catalog/koposov_7/
Berkeley 71,,85.2362,32.2758,3.0,0.91,0.05,0.58,11.94,0.18,2450,110,8.8,0.05,http://ocl.sai.msu.ru/catalog/berkeley_71/
SAI 53,FSR 874,85.2429,20.3550,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_53/
SAI 54,FSR 855,85.5933,22.8344,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_54/
SAI 55,FSR 826,85.7133,28.9453,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_55/
Koposov 77,,85.9679,21.7103,5.0,0.57,0.01,0.55,11.23,0.02,1750,50,9.65,0.1,http://ocl.sai.msu.ru/catalog/koposov_77/
Koposov 49,Teutsch 10,86.0925,28.8203,6.0,0.42,0.05,0.94,11.46,0.22,2000,200,9.15,-inf,http://ocl.sai.msu.ru/catalog/koposov_49/
Koposov 10,FSR 795,86.8692,35.4322,4.0,0.81,0.25,0.79,11.54,0.3,2000,300,8.6,-inf,http://ocl.sai.msu.ru/catalog/koposov_10/
King 8,,87.3292,33.6272,4.0,0.44,0.04,0.5,12.47,0.13,3100,200,9.05,0.05,http://ocl.sai.msu.ru/catalog/king_8/
Czernik 23,,87.5150,28.8947,5.0,0.38,0.02,0.53,12.0,0.04,2500,70,8.45,0.05,http://ocl.sai.msu.ru/catalog/czernik_23/
Berkeley 72,,87.5733,22.2497,8.0,0.43,0.01,0.57,12.72,0.2,3500,300,8.65,0.05,http://ocl.sai.msu.ru/catalog/berkeley_72/
Koposov 58,FSR 849,87.7958,25.7781,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_58/
Koposov 43,FSR 848,88.0608,29.9192,8.0,0.38,0.1,0.44,12.21,0.09,2800,120,9.3,0.1,http://ocl.sai.msu.ru/catalog/koposov_43/
SAI 56,FSR 852,88.3775,25.1781,8.0,0.43,0.07,0.47,11.82,0.04,2310,50,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_56/
Koposov 52,Teutsch 5,88.4537,26.8406,5.0,1.03,0.04,0.58,12.32,0.11,2900,140,8.95,0.1,http://ocl.sai.msu.ru/catalog/koposov_52/
Czernik 24,,88.8525,20.8864,6.0,0.26,0.12,0.39,13.32,0.01,4600,10,9.4,0.05,http://ocl.sai.msu.ru/catalog/czernik_24/
Koposov 12,FSR 802,90.2342,35.2767,9.0,0.3,0.03,0.51,11.55,0.03,2050,50,8.9,0.1,http://ocl.sai.msu.ru/catalog/koposov_12/
SAI 57,FSR 932,91.0896,14.5728,5.0,0.39,0.07,0.43,10.18,0.1,1090,50,8.9,0.1,http://ocl.sai.msu.ru/catalog/sai_57/
SAI 58,FSR 921,91.2892,16.6842,5.0,1.33,0.33,0.7,11.8,0.2,2290,220,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_58/
SAI 59,FSR 942,91.4967,13.6644,8.0,0.59,0.01,0.53,11.51,0.25,2000,240,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_59/
SAI 60,Teutsch 58,91.6608,15.9475,4.0,0.9,0.01,0.54,14.5,0.05,7940,190,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_60/
SAI 61,FSR 904,91.7300,19.0072,8.0,0.14,0.16,0.22,10.51,0.02,1260,20,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_61/
NGC 2158,,91.8658,24.0981,15.0,0.34,0.03,0.57,12.58,0.2,3300,300,9.3,0.1,http://ocl.sai.msu.ru/catalog/ngc_2158/
Koposov 53,,92.2342,26.2636,3.0,0.34,0.04,0.61,12.52,0.03,3200,100,8.5,-inf,http://ocl.sai.msu.ru/catalog/koposov_53/
DC 8,,92.3388,31.2317,2.0,0.72,0.06,0.73,11.62,0.4,2100,300,9.0,0.05,http://ocl.sai.msu.ru/catalog/dc_8/
Koposov 63,FSR 869,92.5071,24.5606,5.0,0.26,0.04,0.4,12.32,0.28,3000,350,9.15,0.1,http://ocl.sai.msu.ru/catalog/koposov_63/
Pismis 27,,92.7242,20.6072,4.0,0.68,0.06,0.6,10.04,0.02,1000,10,7.7,-inf,http://ocl.sai.msu.ru/catalog/pismis_27/
SAI 62,FSR 985,92.9542,7.0228,3.0,0.55,0.02,0.56,12.1,0.09,2630,110,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_62/
Koposov 82,Teutsch 136,92.9825,20.6706,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_82/
SAI 63,FSR 987,93.4354,6.9494,4.0,0.37,0.13,0.4,11.4,0.09,1910,80,8.65,0.05,http://ocl.sai.msu.ru/catalog/sai_63/
Koposov 62,,94.5083,24.7106,6.0,0.34,0.02,0.57,12.21,0.05,2800,60,9.4,0.1,http://ocl.sai.msu.ru/catalog/koposov_62/
SAI 64,FSR 948,96.4829,15.8608,4.0,0.08,0.13,0.2,11.84,0.17,2330,190,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_64/
Koposov 41,FSR 839,97.7417,30.2614,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_41/
SAI 65,FSR 979,97.8175,11.0772,3.0,1.17,0.17,0.63,11.65,0.05,2140,50,8.45,0.05,http://ocl.sai.msu.ru/catalog/sai_65/
SAI 66,FSR 1063,98.6579,-0.2669,5.0,0.58,0.01,0.54,11.47,0.14,1970,130,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_66/
SAI 67,Teutsch59,100.9542,-0.8833,6.0,0.57,0.14,0.69,12.34,0.04,2940,50,8.9,-inf,http://ocl.sai.msu.ru/catalog/sai_67/
SAI 68,Patchick 90,101.1779,-0.5394,3.0,0.41,0.09,0.43,14.0,0.2,6310,610,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_68/
SAI 69,,101.3658,-11.7944,3.0,0.35,0.07,0.44,14.27,0.1,7140,340,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_69/
SAI 70,FSR 1125,102.6108,-5.4356,4.0,0.39,0.01,0.52,13.99,0.09,6280,270,9.1,-inf,http://ocl.sai.msu.ru/catalog/sai_70/
SAI 71,FSR 1085,103.2967,-0.1919,4.0,0.08,0.09,0.25,10.62,0.19,1330,120,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_71/
SAI 72,,103.9517,0.2269,5.0,0.82,0.06,0.56,12.49,0.05,3150,70,8.5,0.2,http://ocl.sai.msu.ru/catalog/sai_72/
SAI 73,FSR 1171,105.0546,-10.3206,2.0,0.65,0.07,0.6,13.07,0.29,4110,590,9.5,0.05,http://ocl.sai.msu.ru/catalog/sai_73/
SAI 74,FSR 1150,106.1525,-6.6106,3.0,0.94,0.06,0.67,13.6,0.26,5250,670,8.3,-inf,http://ocl.sai.msu.ru/catalog/sai_74/
SAI 75,Patchick 79,108.8438,-7.4222,4.0,0.23,0.03,0.75,12.24,0.24,2800,330,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_75/
