#_name,other_name,ra,dec,diameter,ebv,ebv_error,ejh_ejk,distance_modulus,distance_modulus_error,distance,distance_error,age,age_error,url,l,b
SAI 1,,2.085,51.7208,4.0,0.34,0.14,1.12,11.68,0.06,2170.0,60.0,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_1/,116.16591325799021,-10.583870575066157
King 13,,2.57,61.1775,10.0,0.56,0.04,,12.36,0.27,2960.0,400.0,8.85,0.05,http://ocl.sai.msu.ru/catalog/king_13/,117.99062073846729,-1.2987581804860573
SAI 2,,3.1183,76.235,5.0,0.81,0.27,0.74,12.45,0.26,3090.0,400.0,7.7,-inf,http://ocl.sai.msu.ru/catalog/sai_2/,120.55860527878673,13.543122752976174
SAI 3,FSR 480,3.7067,61.4767,6.0,0.68,0.02,0.55,14.18,0.05,6900.0,160.0,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_3/,118.57491309905608,-1.0849460501006156
SAI 4,,5.9167,62.7039,4.0,0.27,0.18,0.32,11.02,0.36,1600.0,290.0,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_4/,119.75420023170177,0.0036235160906968006
SAI 5,FSR 494,6.4075,63.7611,4.0,0.6,0.08,0.62,12.7,0.07,3500.0,120.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_5/,120.08379954230494,1.0321611180433596
SAI 6,,6.9692,60.6892,5.0,0.89,0.09,0.59,12.17,0.01,2700.0,50.0,8.5,-inf,http://ocl.sai.msu.ru/catalog/sai_6/,120.05037584362925,-2.0506577476493564
SAI 7,FSR 503,7.2971,68.9364,7.0,0.82,0.12,0.46,11.88,0.38,2400.0,450.0,9.4,0.05,http://ocl.sai.msu.ru/catalog/sai_7/,120.9239527459225,6.1514418592359466
NGC 136,,7.8858,61.5083,4.0,0.7,0.09,,13.59,0.14,5220.0,350.0,8.4,0.05,http://ocl.sai.msu.ru/catalog/ngc_136/,120.56104267884449,-1.2718305900888276
SAI 8,FSR 505,10.0367,61.5675,3.0,0.3,0.11,0.84,14.28,0.2,7200.0,700.0,9.15,0.1,http://ocl.sai.msu.ru/catalog/sai_8/,121.58802331573773,-1.2747812323540593
SAI 9,FSR 508,10.4663,64.9808,4.0,0.66,0.17,0.42,14.42,0.2,7700.0,700.0,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_9/,121.91934117688328,2.1278748380004533
SAI 10,,10.7633,41.6225,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_10/,121.25109438542968,-21.221881658816788
SAI 11,FSR 524,14.3017,62.105,8.0,0.51,0.13,0.71,10.7,0.29,1380.0,200.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_11/,123.6066763223806,-0.7591893471244946
SAI 12,,16.1004,45.6069,4.0,1.13,0.3,0.72,12.06,0.02,2600.0,50.0,8.15,-inf,http://ocl.sai.msu.ru/catalog/sai_12/,125.30482227187201,-17.20511093157818
SAI 13,FSR 536,19.9067,63.0556,8.0,1.27,0.23,0.66,12.38,0.17,3000.0,250.0,8.2,-inf,http://ocl.sai.msu.ru/catalog/sai_13/,126.11886235401909,0.3584119480913652
SAI 14,,21.5012,62.6258,4.0,0.55,0.03,0.51,14.05,0.03,6460.0,90.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_14/,126.89349670361106,0.020234519245034308
SAI 15,,27.4692,53.9094,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_15/,131.56085950707504,-7.980389186604443
SAI 16,,31.3733,62.265,5.0,0.7,0.01,0.52,14.42,0.2,7700.0,740.0,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_16/,131.4304120035751,0.6214276345685886
SAI 17,,35.2013,59.185,2.0,0.98,0.17,0.63,12.88,0.1,3800.0,150.0,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_17/,134.16596959366063,-1.7235623754022982
SAI 18,,35.4829,61.1225,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_18/,133.63817962277048,0.14594108827726332
SAI 19,,36.6329,61.9925,6.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_19/,133.84611767627104,1.152713660304891
SAI 20,FSR 584,36.77,61.6278,6.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_20/,134.0377940884678,0.8357408232283456
SAI 21,,38.6892,62.5728,3.0,0.58,0.01,0.51,11.35,0.1,1860.0,90.0,8.5,-inf,http://ocl.sai.msu.ru/catalog/sai_21/,134.51684368749264,2.0481339203591844
SAI 22,,42.2421,60.7428,5.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_22/,136.80861377727894,1.0774590160703856
SAI 23,,43.5208,60.6644,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_23/,137.40386564366392,1.285940317515777
SAI 24,,44.8558,60.5661,6.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_24/,138.03018671902834,1.50201449840556
SAI 25,,45.1112,57.2672,7.0,0.84,0.13,0.47,11.8,0.09,2290.0,100.0,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_25/,139.70787648873426,-1.341578978602823
SAI 26,,47.3783,56.7906,3.0,1.47,0.29,0.66,11.79,0.51,2280.0,600.0,8.2,-inf,http://ocl.sai.msu.ru/catalog/sai_26/,141.01719572006462,-1.1526984554543167
SAI 27,,47.8413,68.9003,5.0,0.62,0.04,0.57,10.48,0.28,1250.0,170.0,9.25,0.1,http://ocl.sai.msu.ru/catalog/sai_27/,135.00644600631628,9.375691006777835
SAI 28,,54.8196,55.9733,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_28/,144.90388394562441,0.4341295637804682
SAI 29,FSR 634,55.0896,59.4144,5.0,0.84,0.01,0.53,12.24,0.07,2800.0,90.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_29/,142.96410375679423,3.280868154620351
SAI 30,,55.0925,82.2333,3.0,1.25,0.44,0.82,12.46,0.05,3100.0,80.0,8.0,-inf,http://ocl.sai.msu.ru/catalog/sai_30/,128.5255988179912,21.269108045071874
SAI 31,,57.8142,58.7689,6.0,0.16,0.22,0.23,12.12,0.02,2650.0,30.0,9.6,0.05,http://ocl.sai.msu.ru/catalog/sai_31/,144.46733452971975,3.63218297615926
SAI 32,FSR 655,59.0492,53.8692,1.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_32/,148.11449723901544,0.2868197299315881
SAI 33,Juchert 19,60.5842,52.4442,2.0,0.28,0.01,0.56,10.64,0.02,1340.0,50.0,9.3,-inf,http://ocl.sai.msu.ru/catalog/sai_33/,149.74041298470954,-0.19683502620630355
SAI 34,FSR 660,60.6575,51.9306,5.0,1.2,0.12,0.58,13.78,0.03,5700.0,80.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_34/,150.11264593304296,-0.5535609687720722
SAI 35,Juchert 20,62.6958,46.8669,5.0,0.7,0.18,0.71,11.92,0.02,2420.0,20.0,8.55,-inf,http://ocl.sai.msu.ru/catalog/sai_35/,154.49365391360917,-3.422121455138139
SAI 36,,64.21,41.0667,3.0,0.55,0.05,0.6,12.36,0.19,3000.0,270.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_36/,159.3070136834018,-6.864669601685489
SAI 37,FSR 687,69.8629,48.2064,4.0,0.77,0.03,0.57,14.3,0.04,7200.0,130.0,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_37/,156.92089396075508,0.9709749616551515
SAI 38,FSR 699,74.0233,47.3903,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_38/,159.34875821393481,2.5789155903269023
SAI 39,FSR 696,74.6317,47.9842,1.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_39/,159.13830223200043,3.2690414067581925
SAI 40,,75.2371,41.2339,8.0,0.35,0.12,0.78,13.29,0.05,4550.0,100.0,8.75,0.05,http://ocl.sai.msu.ru/catalog/sai_40/,164.71735607002788,-0.5590955580179179
SAI 41,,76.7725,38.4181,2.0,0.51,0.18,0.39,13.58,0.23,5200.0,580.0,9.3,0.05,http://ocl.sai.msu.ru/catalog/sai_41/,167.67034801830053,-1.3341057143185524
SAI 42,Juchert 23,76.9154,17.6,8.0,0.62,0.18,0.77,11.67,0.09,2160.0,90.0,8.7,0.05,http://ocl.sai.msu.ru/catalog/sai_42/,184.74912236292965,-13.489226024321612
SAI 43,,77.0692,49.8689,2.0,0.18,0.03,0.45,12.92,0.07,3840.0,130.0,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_43/,158.6082987597444,5.684902433626781
SAI 44,FSR 716,77.7808,45.7192,5.0,0.24,0.01,0.55,12.64,0.06,3400.0,70.0,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_44/,162.24946773682882,3.61642169655992
SAI 45,Patchick 3,79.1458,45.5822,6.0,0.25,0.02,0.5,10.55,0.17,1290.0,100.0,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_45/,162.91866951451237,4.311773353432976
SAI 46,,79.9042,36.5089,3.0,0.78,0.01,0.62,13.16,0.12,4290.0,240.0,9.45,0.05,http://ocl.sai.msu.ru/catalog/sai_46/,170.67492414485469,-0.44148870087609804
SAI 47,,80.9917,42.3144,3.0,0.6,0.01,0.54,12.93,0.05,3860.0,90.0,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_47/,166.37003852204376,3.54561472504868
Berkeley 19,,81.0117,29.5711,5.0,0.61,0.05,0.72,12.38,0.4,3000.0,600.0,9.25,0.05,http://ocl.sai.msu.ru/catalog/berkeley_19/,176.9189390046115,-3.613826913456002
SAI 48,,81.07,33.5006,4.0,0.31,0.07,0.45,11.3,0.2,1800.0,180.0,9.35,0.05,http://ocl.sai.msu.ru/catalog/sai_48/,173.69365072628696,-1.3639565399836662
SAI 49,,81.6038,50.7842,6.0,0.47,0.01,0.54,12.17,0.17,2720.0,220.0,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_49/,159.50952089413502,8.585835213295656
Czernik 21,,81.6708,36.0136,6.0,0.72,0.02,0.56,11.82,0.2,2300.0,200.0,9.55,0.05,http://ocl.sai.msu.ru/catalog/czernik_21/,171.88893267615123,0.45323588379958163
Stock 8,,82.0367,34.4314,8.0,1.21,0.04,0.57,9.84,0.2,900.0,110.0,7.5,-inf,http://ocl.sai.msu.ru/catalog/stock_8/,173.36984932886742,-0.17891182279173962
Kronberger 1,,82.0917,34.7733,5.0,0.43,0.1,0.72,9.6,0.3,800.0,100.0,8.1,0.05,http://ocl.sai.msu.ru/catalog/kronberger_1/,173.11049910511645,0.04842650521000709
SAI 50,,82.1621,35.0219,3.0,0.6,0.3,0.42,16.7,0.5,21900.0,5700.0,9.7,0.2,http://ocl.sai.msu.ru/catalog/sai_50/,172.9355762564913,0.23427081765216032
SAI 51,Teutsch 133,82.5079,33.4253,3.0,0.62,0.18,0.42,9.54,0.2,810.0,80.0,9.3,-inf,http://ocl.sai.msu.ru/catalog/sai_51/,174.42432171382598,-0.4095747164401635
NGC 1931,,82.8579,34.2139,6.0,1.97,0.2,0.84,10.06,0.2,1000.0,120.0,7.0,-inf,http://ocl.sai.msu.ru/catalog/ngc_1931/,173.92537290254415,0.26680677317457024
Koposov 36,,84.2108,31.2108,9.0,0.83,0.11,0.63,11.16,0.16,1700.0,150.0,8.35,-inf,http://ocl.sai.msu.ru/catalog/koposov_36/,177.06530374925995,-0.40748462246405454
SAI 52,FSR 812,84.5379,31.7378,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_52/,176.77006779726753,0.11058088300574917
Koposov 27,Teutsch 1,84.875,33.35,3.0,0.45,0.1,0.69,12.8,0.5,3700.0,900.0,8.65,-inf,http://ocl.sai.msu.ru/catalog/koposov_27/,175.55805268415747,1.2111210131116268
Koposov 7,FSR 784,85.1838,35.9236,6.0,3.75,0.37,0.7,13.39,0.35,4760.0,830.0,8.2,0.05,http://ocl.sai.msu.ru/catalog/koposov_7/,173.50961250471133,2.7913805447970916
Berkeley 71,,85.2362,32.2758,3.0,0.91,0.05,0.58,11.94,0.18,2450.0,110.0,8.8,0.05,http://ocl.sai.msu.ru/catalog/berkeley_71/,176.6297542852085,0.8982295792299527
SAI 53,FSR 874,85.2429,20.355,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_53/,186.7704232861256,-5.389395162767346
SAI 54,FSR 855,85.5933,22.8344,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_54/,184.822675309045,-3.813169905604455
SAI 55,FSR 826,85.7133,28.9453,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_55/,179.6753271308751,-0.5109535842221445
Koposov 77,,85.9679,21.7103,5.0,0.57,0.01,0.55,11.23,0.02,1750.0,50.0,9.65,0.1,http://ocl.sai.msu.ru/catalog/koposov_77/,185.96505295237014,-4.104648265536958
Koposov 49,Teutsch 10,86.0925,28.8203,6.0,0.42,0.05,0.94,11.46,0.22,2000.0,200.0,9.15,-inf,http://ocl.sai.msu.ru/catalog/koposov_49/,179.9559492499658,-0.29387131722408666
Koposov 10,FSR 795,86.8692,35.4322,4.0,0.81,0.25,0.79,11.54,0.3,2000.0,300.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/koposov_10/,174.6447456144293,3.7031766020137966
King 8,,87.3292,33.6272,4.0,0.44,0.04,0.5,12.47,0.13,3100.0,200.0,9.05,0.05,http://ocl.sai.msu.ru/catalog/king_8/,176.39121482569902,3.101324779724054
Czernik 23,,87.515,28.8947,5.0,0.38,0.02,0.53,12.0,0.04,2500.0,70.0,8.45,0.05,http://ocl.sai.msu.ru/catalog/czernik_23/,180.5378951925875,0.8102276472651915
Berkeley 72,,87.5733,22.2497,8.0,0.43,0.01,0.57,12.72,0.2,3500.0,300.0,8.65,0.05,http://ocl.sai.msu.ru/catalog/berkeley_72/,186.27175132734345,-2.551127620434493
Koposov 58,FSR 849,87.7958,25.7781,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_58/,183.3424375282833,-0.5719253406816185
Koposov 43,FSR 848,88.0608,29.9192,8.0,0.38,0.1,0.44,12.21,0.09,2800.0,120.0,9.3,0.1,http://ocl.sai.msu.ru/catalog/koposov_43/,179.90003095974458,1.7424323286841812
SAI 56,FSR 852,88.3775,25.1781,8.0,0.43,0.07,0.47,11.82,0.04,2310.0,50.0,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_56/,184.12626383860186,-0.42557109965450723
Koposov 52,Teutsch 5,88.4537,26.8406,5.0,1.03,0.04,0.58,12.32,0.11,2900.0,140.0,8.95,0.1,http://ocl.sai.msu.ru/catalog/koposov_52/,182.7281247526993,0.4765616114177904
Czernik 24,,88.8525,20.8864,6.0,0.26,0.12,0.39,13.32,0.01,4600.0,10.0,9.4,0.05,http://ocl.sai.msu.ru/catalog/czernik_24/,188.05159927295745,-2.2174516372938946
Koposov 12,FSR 802,90.2342,35.2767,9.0,0.3,0.03,0.51,11.55,0.03,2050.0,50.0,8.9,0.1,http://ocl.sai.msu.ru/catalog/koposov_12/,176.1596948969464,6.00037702001159
SAI 57,FSR 932,91.0896,14.5728,5.0,0.39,0.07,0.43,10.18,0.1,1090.0,50.0,8.9,0.1,http://ocl.sai.msu.ru/catalog/sai_57/,194.59918660049192,-3.495523444732306
SAI 58,FSR 921,91.2892,16.6842,5.0,1.33,0.33,0.7,11.8,0.2,2290.0,220.0,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_58/,192.8480953510914,-2.296951661048246
SAI 59,FSR 942,91.4967,13.6644,8.0,0.59,0.01,0.53,11.51,0.25,2000.0,240.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_59/,195.58677707451758,-3.592725754479846
SAI 60,Teutsch 58,91.6608,15.9475,4.0,0.9,0.01,0.54,14.5,0.05,7940.0,190.0,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_60/,193.66586059515546,-2.3445926090967437
SAI 61,FSR 904,91.73,19.0072,8.0,0.14,0.16,0.22,10.51,0.02,1260.0,20.0,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_61/,191.0242635915735,-0.7974160840859809
NGC 2158,,91.8658,24.0981,15.0,0.34,0.03,0.57,12.58,0.2,3300.0,300.0,9.3,0.1,http://ocl.sai.msu.ru/catalog/ngc_2158/,186.6379705818792,1.7907014837845274
Koposov 53,,92.2342,26.2636,3.0,0.34,0.04,0.61,12.52,0.03,3200.0,100.0,8.5,-inf,http://ocl.sai.msu.ru/catalog/koposov_53/,184.90284813038724,3.1306848344695557
DC 8,,92.3388,31.2317,2.0,0.72,0.06,0.73,11.62,0.4,2100.0,300.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/dc_8/,180.57445903892716,5.593777425871455
Koposov 63,FSR 869,92.5071,24.5606,5.0,0.26,0.04,0.4,12.32,0.28,3000.0,350.0,9.15,0.1,http://ocl.sai.msu.ru/catalog/koposov_63/,186.51576538987547,2.5258559690730866
Pismis 27,,92.7242,20.6072,4.0,0.68,0.06,0.6,10.04,0.02,1000.0,10.0,7.7,-inf,http://ocl.sai.msu.ru/catalog/pismis_27/,190.0779627717268,0.7961425797542395
SAI 62,FSR 985,92.9542,7.0228,3.0,0.55,0.02,0.56,12.1,0.09,2630.0,110.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_62/,202.1230617784059,-5.520188379484618
Koposov 82,Teutsch 136,92.9825,20.6706,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_82/,190.1387344159986,1.0385410680980744
SAI 63,FSR 987,93.4354,6.9494,4.0,0.37,0.13,0.4,11.4,0.09,1910.0,80.0,8.65,0.05,http://ocl.sai.msu.ru/catalog/sai_63/,202.41482926593304,-5.134026116980391
Koposov 62,,94.5083,24.7106,6.0,0.34,0.02,0.57,12.21,0.05,2800.0,60.0,9.4,0.1,http://ocl.sai.msu.ru/catalog/koposov_62/,187.25021788232357,4.197333515801541
SAI 64,FSR 948,96.4829,15.8608,4.0,0.08,0.13,0.2,11.84,0.17,2330.0,190.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_64/,195.9495831313169,1.6927407968876973
Koposov 41,FSR 839,97.7417,30.2614,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_41/,183.58812408221357,9.27767462108973
SAI 65,FSR 979,97.8175,11.0772,3.0,1.17,0.17,0.63,11.65,0.05,2140.0,50.0,8.45,0.05,http://ocl.sai.msu.ru/catalog/sai_65/,200.7899479782563,0.6216119790839292
SAI 66,FSR 1063,98.6579,-0.2669,5.0,0.58,0.01,0.54,11.47,0.14,1970.0,130.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_66/,211.25129400438496,-3.8605853586276995
SAI 67,Teutsch59,100.9542,-0.8833,6.0,0.57,0.14,0.69,12.34,0.04,2940.0,50.0,8.9,-inf,http://ocl.sai.msu.ru/catalog/sai_67/,212.84945268776661,-2.0983842479918047
SAI 68,Patchick 90,101.1779,-0.5394,3.0,0.41,0.09,0.43,14.0,0.2,6310.0,610.0,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_68/,212.64521569473985,-1.7425257545814223
SAI 69,,101.3658,-11.7944,3.0,0.35,0.07,0.44,14.27,0.1,7140.0,340.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_69/,222.80315610942625,-6.656257962112787
SAI 70,FSR 1125,102.6108,-5.4356,4.0,0.39,0.01,0.52,13.99,0.09,6280.0,270.0,9.1,-inf,http://ocl.sai.msu.ru/catalog/sai_70/,217.66000037232203,-2.6961487836113966
SAI 71,FSR 1085,103.2967,-0.1919,4.0,0.08,0.09,0.25,10.62,0.19,1330.0,120.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_71/,213.30208450000487,0.3016147605742769
SAI 72,,103.9517,0.2269,5.0,0.82,0.06,0.56,12.49,0.05,3150.0,70.0,8.5,0.2,http://ocl.sai.msu.ru/catalog/sai_72/,213.22804251058915,1.075523766036008
SAI 73,FSR 1171,105.0546,-10.3206,2.0,0.65,0.07,0.6,13.07,0.29,4110.0,590.0,9.5,0.05,http://ocl.sai.msu.ru/catalog/sai_73/,223.1173665501976,-2.760132523696302
SAI 74,FSR 1150,106.1525,-6.6106,3.0,0.94,0.06,0.67,13.6,0.26,5250.0,670.0,8.3,-inf,http://ocl.sai.msu.ru/catalog/sai_74/,220.3134094496225,-0.09798068968779233
